zip,stcountyfp,city,state,countyname,classfp
20152,51059,Chantilly,VA,Fairfax County,H1
20170,51059,Herndon,VA,Fairfax County,H1
20165,51059,Sterling,VA,Fairfax County,H1
22046,51059,Falls church,VA,Fairfax County,H1
22066,51059,Great falls,VA,Fairfax County,H1
22152,51059,Springfield,VA,Fairfax County,H1
22079,51059,Lorton,VA,Fairfax County,H1
22116,51059,Merrifield,VA,Fairfax County,H1
22160,51059,Springfield,VA,Fairfax County,H1
20070,51059,Washington,VA,Fairfax County,H1
20206,51059,Washington,VA,Fairfax County,H1
20598,51059,Dhs,VA,Fairfax County,H1
20122,51059,Centreville,VA,Fairfax County,H1
22009,51059,Burke,VA,Fairfax County,H1
22039,51059,Fairfax station,VA,Fairfax County,H1
22303,51059,Alexandria,VA,Fairfax County,H1
22306,51059,Alexandria,VA,Fairfax County,H1
22213,51059,Arlington,VA,Fairfax County,H1
22103,51059,West mclean,VA,Fairfax County,H1
22185,51059,Vienna,VA,Fairfax County,H1
20121,51059,Centreville,VA,Fairfax County,H1
20153,51059,Chantilly,VA,Fairfax County,H1
22015,51059,Burke,VA,Fairfax County,H1
22031,51059,Fairfax,VA,Fairfax County,H1
22042,51059,Falls church,VA,Fairfax County,H1
22153,51059,Springfield,VA,Fairfax County,H1
22060,51059,Fort belvoir,VA,Fairfax County,H1
22206,51059,Arlington,VA,Fairfax County,H1
22207,51059,Arlington,VA,Fairfax County,H1
22310,51059,Alexandria,VA,Fairfax County,H1
22199,51059,Lorton,VA,Fairfax County,H1
22107,51059,Mc lean,VA,Fairfax County,H1
20151,51059,Chantilly,VA,Fairfax County,H1
22033,51059,Fairfax,VA,Fairfax County,H1
22032,51059,Fairfax,VA,Fairfax County,H1
22182,51059,Vienna,VA,Fairfax County,H1
22307,51059,Alexandria,VA,Fairfax County,H1
22311,51059,Alexandria,VA,Fairfax County,H1
22309,51059,Alexandria,VA,Fairfax County,H1
20172,51059,Herndon,VA,Fairfax County,H1
22109,51059,Mc lean,VA,Fairfax County,H1
20069,51059,Washington,VA,Fairfax County,H1
22406,51061,Fredericksburg,VA,Fauquier County,H1
20128,51061,Orlean,VA,Fauquier County,H1
20139,51061,Casanova,VA,Fauquier County,H1
20115,51061,Marshall,VA,Fauquier County,H1
20186,51061,Warrenton,VA,Fauquier County,H1
20181,51061,Nokesville,VA,Fauquier County,H1
22639,51061,Hume,VA,Fauquier County,H1
20106,51061,Amissville,VA,Fauquier County,H1
22720,51061,Goldvein,VA,Fauquier County,H1
22556,51061,Stafford,VA,Fauquier County,H1
20144,51061,Delaplane,VA,Fauquier County,H1
20137,51061,Broad run,VA,Fauquier County,H1
22642,51061,Linden,VA,Fauquier County,H1
20138,51061,Calverton,VA,Fauquier County,H1
20130,51061,Paris,VA,Fauquier County,H1
20169,51061,Haymarket,VA,Fauquier County,H1
22643,51061,Markham,VA,Fauquier County,H1
22712,51061,Bealeton,VA,Fauquier County,H1
22734,51061,Remington,VA,Fauquier County,H1
22728,51061,Midland,VA,Fauquier County,H1
20198,51061,The plains,VA,Fauquier County,H1
20184,51061,Upperville,VA,Fauquier County,H1
20188,51061,Warrenton,VA,Fauquier County,H1
20140,51061,Rectortown,VA,Fauquier County,H1
20117,51061,Middleburg,VA,Fauquier County,H1
20187,51061,Warrenton,VA,Fauquier County,H1
22742,51061,Sumerduck,VA,Fauquier County,H1
20119,51061,Catlett,VA,Fauquier County,H1
24091,51063,Floyd,VA,Floyd County,H1
24149,51063,Riner,VA,Floyd County,H1
24352,51063,Laurel fork,VA,Floyd County,H1
24059,51063,Bent mountain,VA,Floyd County,H1
24079,51063,Copper hill,VA,Floyd County,H1
24105,51063,Indian valley,VA,Floyd County,H1
24141,51063,Radford,VA,Floyd County,H1
24162,51063,Shawsville,VA,Floyd County,H1
24120,51063,Meadows of dan,VA,Floyd County,H1
24138,51063,Pilot,VA,Floyd County,H1
24380,51063,Willis,VA,Floyd County,H1
24072,51063,Check,VA,Floyd County,H1
22963,51065,Palmyra,VA,Fluvanna County,H1
23055,51065,Fork union,VA,Fluvanna County,H1
23093,51065,Louisa,VA,Fluvanna County,H1
22947,51065,Keswick,VA,Fluvanna County,H1
23038,51065,Columbia,VA,Fluvanna County,H1
23084,51065,Kents store,VA,Fluvanna County,H1
22974,51065,Troy,VA,Fluvanna County,H1
23022,51065,Bremo bluff,VA,Fluvanna County,H1
24590,51065,Scottsville,VA,Fluvanna County,H1
24014,51067,Roanoke,VA,Franklin County,H1
24146,51067,Redwood,VA,Franklin County,H1
24055,51067,Bassett,VA,Franklin County,H1
24065,51067,Boones mill,VA,Franklin County,H1
24091,51067,Floyd,VA,Franklin County,H1
24092,51067,Glade hill,VA,Franklin County,H1
24112,51067,Martinsville,VA,Franklin County,H1
24059,51067,Bent mountain,VA,Franklin County,H1
24079,51067,Copper hill,VA,Franklin County,H1
24088,51067,Ferrum,VA,Franklin County,H1
24101,51067,Hardy,VA,Franklin County,H1
24102,51067,Henry,VA,Franklin County,H1
24151,51067,Rocky mount,VA,Franklin County,H1
24067,51067,Callaway,VA,Franklin County,H1
24137,51067,Penhook,VA,Franklin County,H1
24184,51067,Wirtz,VA,Franklin County,H1
24121,51067,Moneta,VA,Franklin County,H1
24176,51067,Union hall,VA,Franklin County,H1
22601,51069,Winchester,VA,Frederick County,H1
22630,51069,Front royal,VA,Frederick County,H1
22645,51069,Middletown,VA,Frederick County,H1
22624,51069,Clear brook,VA,Frederick County,H1
